connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;-4275522#5;0;-4275522#4;0
1.9;-4275522#6;0;-4275522#5;0
1.9;-4275522#7;0;-4275522#6;0
1.9;-4275522#8;0;-4275522#7;0
1.9;-4275522#8;0;4275522#8;0
1.9;-4275522#8;0;4275522#8;1
1.9;-4275522#8;0;4275522#8;2
1.9;-4275522#8;1;4275522#8;0
1.9;-4275522#8;1;4275522#8;1
1.9;-4275522#8;1;4275522#8;2
1.9;-4275522#9;0;-4275522#8;0
1.9;-4275522#9;0;-4275522#8;1
1.9;-43118549;;;
1.9;-44135328#0;0;-142677514#1;0
1.9;-44135328#0;0;-551319347#5;0
1.9;-44135328#0;1;-551319347#5;1
1.9;-44135328#0;1;139083714#0;2
1.9;-4919145;0;-142954639#0;0
1.9;-4919145;0;142954639#1;1
1.9;-4919237#0;0;-252843138#15;0
1.9;-4919237#0;1;-252843138#15;1
1.9;-4919237#0;1;26810395#0;0
1.9;-4919237#1;0;-4919237#0;0
1.9;-4919237#1;0;-4919237#0;1
1.9;-4919237#2;0;-4919237#1;0
1.9;-51193433#5;;;
1.9;-51208012;0;22131088#0;0
1.9;-51208012;0;-27470551;0
1.9;-51208012;1;-27470551;1
1.9;-51208012;2;-27470551;2
1.9;-51208012;3;-27470551;3
1.9;-521045495#0;0;-51208012;0
1.9;-521045495#0;1;-51208012;1
1.9;-521045495#0;1;-51208012;2
1.9;-521045495#0;2;-51208012;3
1.9;-521045495#1;0;-521045495#0;0
1.9;-521045495#1;0;-521045495#0;1
1.9;-521045495#1;1;-521045495#0;2
1.9;-521045497;0;30163585;0
1.9;-521045497;1;30163585;1
1.9;-521045499#0;0;-521045497;0
1.9;-521045499#0;1;-521045497;1
1.9;-521045499#1;0;-521045499#0;0
1.9;-521045499#1;1;-521045499#0;1
1.9;-521045500;0;-521045501#1;0
1.9;-521045500;0;-521045501#1;1
1.9;-521045500;1;-521045501#1;2
1.9;-521045501#0;0;-521045507#0;0
1.9;-521045501#0;1;-521045499#1;0
1.9;-521045501#0;2;-521045499#1;1
1.9;-521045501#1;0;-521045501#0;0
1.9;-521045501#1;1;-521045501#0;1
1.9;-521045501#1;2;-521045501#0;2
1.9;-521045505;0;-51193433#5;0
1.9;-521045507#0;0;-521045505;0
1.9;-521056835;0;6376884;0
1.9;-521056835;1;542148469;0
1.9;-521056835;2;542148469;1
1.9;-521056835;3;521045493;1
1.9;-5213129#0;0;22697608#1;0
1.9;-5213129#0;0;22697609;1
1.9;-5213129#0;0;143575108;0
1.9;-5213129#1;0;-5213129#0;0
1.9;-5217066;0;-142954639#2;0
1.9;-5217066;0;142954639#3;1
1.9;-551319347#5;;;
1.9;-566711291;;;
1.9;-566711303#1;0;gneE157;0
1.9;-566711303#4;0;25554897#0;0
1.9;-566711303#4;0;-566711303#1;0
1.9;-621072259#0;0;566711283;0
1.9;-621072259#0;0;566711302;1
1.9;-647842954#0;0;-40229433#1;0
1.9;-647842954#1;0;-647842954#0;0
1.9;-647842954#2;0;-647842954#1;0
1.9;-678902911#0;0;-678902926#1;0
1.9;-678902911#0;1;-678902926#1;1
1.9;-678902911#1;0;-678902911#0;0
1.9;-678902911#1;1;-678902911#0;1
1.9;-678902914#0;0;-678902918;0
1.9;-678902914#0;1;-678902918;1
1.9;-678902914#0;1;-678902918;2
1.9;-678902918;0;-20439110#5;0
1.9;-678902918;1;-20439110#5;1
1.9;-678902918;2;gneE109;0
1.9;-678902926#0;0;-8663642;0
1.9;-678902926#0;0;-678902914#0;0
1.9;-678902926#0;1;-678902914#0;1
1.9;-678902926#1;0;-678902926#0;0
1.9;-678902926#1;1;-678902926#0;1
1.9;-8300803#3;;;
1.9;-8300811#3;;;
1.9;-8663642;;;
1.9;-gneE109;0;678902918;0
1.9;-gneE114;0;22744203#1;0
1.9;-gneE114;0;43664479#0;0
1.9;-gneE114;0;gneE13;0
1.9;-gneE114;1;gneE13;1
1.9;-gneE114;2;40229432#1;2
1.9;-gneE116;;;
1.9;-gneE13;0;-gneE13.39;0
1.9;-gneE13;1;-gneE13.39;1
1.9;-gneE13;2;-gneE13.39;2
1.9;-gneE13.39;0;gneE114;0
1.9;-gneE13.39;0;43664479#0;0
1.9;-gneE13.39;1;gneE114;0
1.9;-gneE13.39;2;gneE114;1
1.9;-gneE130;0;142677518;0
1.9;-gneE130;0;22791190#0;0
1.9;-gneE130;0;-22791191#1;1
1.9;-gneE151;0;gneE152;1
1.9;-gneE154;0;297888720#1;0
1.9;-gneE154;1;297888720#1;1
1.9;-gneE154;1;-gneE151;0
1.9;-gneE95;0;566711298#0;0
1.9;-gneE95;0;566711298#0;1
1.9;-gneE95;1;gneE105;0
1.9;13792152#1;0;38839094;0
1.9;139056860#0;0;139056860#1;0
1.9;139056860#0;1;139056860#1;1
1.9;139056860#0;2;139056860#1;2
1.9;139056860#1;0;139056860#2;0
1.9;139056860#1;1;139056860#2;1
1.9;139056860#1;2;139056860#2;2
1.9;139056860#2;0;139056860#3;0
1.9;139056860#2;1;139056860#3;1
1.9;139056860#2;2;139056860#3;2
1.9;139056860#3;0;139056860#4;0
1.9;139056860#3;1;139056860#4;1
1.9;139056860#3;2;139056860#4;2
1.9;139056860#4;0;gneE88;0
1.9;139056860#4;0;139056863#1;0
1.9;139056860#4;0;139056863#1;1
1.9;139056860#4;1;139056863#1;2
1.9;139056860#4;2;252843128#1;1
1.9;139056863#1;1;139056863#3;0
1.9;139056863#1;2;139056863#3;1
1.9;139056863#3;0;252843151#0;0
1.9;139056863#3;1;252843151#0;1
1.9;139083714#0;0;139083714#2;0
1.9;139083714#0;1;139083714#2;1
1.9;139083714#0;2;139083714#2;2
1.9;139083714#2;0;gneE124;0
1.9;139083714#2;0;139083714#3;0
1.9;139083714#2;0;139083714#3;1
1.9;139083714#2;1;139083714#3;2
1.9;139083714#2;2;139083714#3;3
1.9;139083714#3;0;-194683757#2;0
1.9;139083714#3;0;139083723#0;0
1.9;139083714#3;1;139083723#0;1
1.9;139083714#3;2;139083723#0;2
1.9;139083714#3;3;139083723#0;3
1.9;139083714#3;3;gneE128;0
1.9;139083719#1;0;139083719#2;0
1.9;139083719#1;1;139083719#2;1
1.9;139083719#1;2;139083719#2;2
1.9;139083719#2;0;139083719#3;0
1.9;139083719#2;1;139083719#3;1
1.9;139083719#2;2;139083719#3;2
1.9;139083719#3;0;139083719#4;0
1.9;139083719#3;1;139083719#4;1
1.9;139083719#3;2;139083719#4;2
1.9;139083719#3;2;139083719#4;3
1.9;139083719#4;0;234423652#0;0
1.9;139083719#4;1;234423652#0;1
1.9;139083719#4;2;234423652#0;2
1.9;139083719#4;3;615482813#0;1
1.9;139083719#4;3;615482813#0;2
1.9;139083720;0;139083720.280;0
1.9;139083720;1;139083720.280;1
1.9;139083720;1;139083720.280;2
1.9;139083720.280;0;139083725;0
1.9;139083720.280;0;252843136#2;0
1.9;139083720.280;1;252843136#2;1
1.9;139083720.280;2;252843886#0;2
1.9;139083723#0;0;234423652#0;0
1.9;139083723#0;1;615482813#0;0
1.9;139083723#0;2;615482813#0;1
1.9;139083723#0;3;615482813#0;2
1.9;139083723#0;3;606141102;1
1.9;139083725;0;139083727#0;0
1.9;139083725;1;139083727#0;1
1.9;139083727#0;0;139083727#1;0
1.9;139083727#0;1;139083727#1;1
1.9;139083727#1;0;139083727#2;0
