connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;23925230;2;142944224#3;1
1.9;23925231;0;24732668;0
1.9;23925231;0;24732668;1
1.9;23925231;1;24732668;2
1.9;24288798#0;0;26621012#0;0
1.9;24288798#0;1;26621012#0;1
1.9;24288798#0;2;26621012#0;2
1.9;24288798#0;2;26621012#0;3
1.9;24288798#0;2;26621012#0;4
1.9;24498951#0;0;24498951#1;0
1.9;24498951#0;0;24498951#1;1
1.9;24498951#0;1;24498951#1;2
1.9;24498951#1;0;-678902911#1;0
1.9;24498951#1;1;-678902911#1;1
1.9;24498951#1;2;gneE108;0
1.9;24732668;0;25478404;0
1.9;24732668;0;25478404;1
1.9;24732668;1;74543943#0;0
1.9;24732668;2;74543943#0;1
1.9;24732668;2;74543943#0;2
1.9;251871702;0;31050642;0
1.9;251871702;1;31050642;1
1.9;251871702;2;31050642;2
1.9;252378410#0;0;22791191#0;0
1.9;252378410#0;1;22791191#0;1
1.9;252378410#0;1;gneE126;0
1.9;252378410#0;2;252993342#0;1
1.9;252843127#0;0;gneE88;0
1.9;252843127#0;0;139056863#1;1
1.9;252843127#0;1;gneE88;1
1.9;252843127#0;2;gneE88;2
1.9;252843127#0;2;139056863#1;2
1.9;252843128#1;0;gneE86;0
1.9;252843128#1;1;gneE86;1
1.9;252843129;0;252843129.38;0
1.9;252843129;1;252843129.38;1
1.9;252843129;1;252843129.38;2
1.9;252843129.38;0;370073257;0
1.9;252843129.38;1;370073257;1
1.9;252843129.38;2;370073257;2
1.9;252843129.38;2;370073257;3
1.9;252843131#0;0;-4919237#2;0
1.9;252843131#0;0;252843129;0
1.9;252843131#0;1;252843129;1
1.9;252843136#2;0;142954639#0;0
1.9;252843136#2;1;142954639#0;1
1.9;252843138#0;0;252843138#1;0
1.9;252843138#0;1;252843138#1;1
1.9;252843138#1;0;252843138#2;1
1.9;252843138#1;1;252843138#2;2
1.9;252843138#10;0;252843138#11;0
1.9;252843138#10;1;252843138#11;1
1.9;252843138#11;0;252843138#12;0
1.9;252843138#11;1;252843138#12;1
1.9;252843138#12;0;252843138#14;0
1.9;252843138#12;1;252843138#14;1
1.9;252843138#14;0;252843138#15;0
1.9;252843138#14;1;252843138#15;1
1.9;252843138#15;0;26810395#0;0
1.9;252843138#15;0;4919237#0;0
1.9;252843138#15;1;4919237#0;1
1.9;252843138#2;0;gneE90;0
1.9;252843138#2;1;252843138#4;0
1.9;252843138#2;2;252843138#4;1
1.9;252843138#4;0;252843138#5;0
1.9;252843138#4;1;252843138#5;1
1.9;252843138#5;0;gneE92;0
1.9;252843138#5;0;252843138#6;0
1.9;252843138#5;1;252843138#6;1
1.9;252843138#6;0;252843138#7;0
1.9;252843138#6;1;252843138#7;1
1.9;252843138#7;0;252843138#8;0
1.9;252843138#7;1;252843138#8;1
1.9;252843138#8;0;252843138#9;0
1.9;252843138#8;1;252843138#9;1
1.9;252843138#9;0;252843138#10;0
1.9;252843138#9;1;252843138#10;1
1.9;252843138#9;1;-252843138#9;1
1.9;252843139;0;252843138#0;0
1.9;252843139;1;252843138#0;1
1.9;252843140#0;0;-521045495#1;0
1.9;252843140#0;1;-521045495#1;1
1.9;252843151#0;0;252843151#1;0
1.9;252843151#0;1;252843151#1;1
1.9;252843151#1;0;252843151#2;0
1.9;252843151#1;1;252843151#2;1
1.9;252843151#2;0;252843151#3;0
1.9;252843151#2;1;252843151#3;1
1.9;252843151#3;0;252843151#4;0
1.9;252843151#3;1;252843151#4;1
1.9;252843151#4;0;252843151#5;0
1.9;252843151#4;1;252843151#5;1
1.9;252843151#5;0;428959012;0
1.9;252843151#5;1;428959012;1
1.9;252843151#5;1;428959012;2
1.9;252993339#0;0;gneE127;1
1.9;252993342#0;0;252993342#1;0
1.9;252993342#0;1;252993342#1;1
1.9;252993342#1;0;-8300803#3;0
1.9;252993342#1;0;142677530#1;0
1.9;252993342#1;1;142677530#1;1
1.9;25478404;0;gneE152;0
1.9;25478404;1;gneE152;1
1.9;25554897#0;;;
1.9;26615914#0;0;26615914#1;0
1.9;26615914#1;0;142677514#0;0
1.9;26615914#1;0;23917006#0;0
1.9;26621012#0;0;26621012#2;0
1.9;26621012#0;1;26621012#2;1
1.9;26621012#0;2;26621012#2;2
1.9;26621012#0;3;26621012#2;3
1.9;26621012#0;4;26621012#2;4
1.9;26621012#2;0;401531644;0
1.9;26621012#2;0;44532531;0
1.9;26621012#2;1;44532531;1
1.9;26621012#2;2;44532531;2
1.9;26621012#2;3;156559298#0;0
1.9;26621012#2;3;51981485#1;0
1.9;26621012#2;4;401531644;1
1.9;26810395#0;0;26810395#1;0
1.9;26810395#1;;;
1.9;26810757#0;0;92197791;0
1.9;26810757#0;1;92197791;1
1.9;26923040;0;43145234;0
1.9;28180143;0;-4218887#0;0
1.9;28180143;0;24498951#0;0
1.9;28180143;1;24498951#0;1
1.9;297888720#1;0;31274978;0
1.9;297888720#1;1;59471461;1
1.9;299265211#0;0;-gneE116;0
1.9;299265211#0;1;-gneE116;1
1.9;299265211#0;2;-299265214#1;0
1.9;299265211#0;2;143575041;0
1.9;299265211#0;3;143575041;1
1.9;299265214#1;0;143575041;0
1.9;299265214#1;0;591566053;0
1.9;299265214#1;0;-gneE116;1
1.9;30163585;0;362906064;0
1.9;30163585;0;362906064;1
1.9;30163585;1;362906064;2
1.9;30598410;0;gneE142;0
1.9;30598410;1;gneE142;1
1.9;30598410;2;48516448;0
1.9;30598410;2;48516448;1
1.9;30598412;0;-125742555;0
1.9;30598412;0;22649707#0;0
1.9;30598412;1;22649707#0;1
1.9;31050642;0;521070806;0
1.9;31050642;1;521070806;1
1.9;31050642;2;521070806;2
1.9;31274978;0;30598410;0
1.9;31274978;1;30598410;1
1.9;31274978;1;30598410;2
1.9;32981087#0;0;32981087#1;0
1.9;32981087#0;0;32981087#1;1
1.9;32981087#1;0;22672601#1;0
1.9;32981087#1;0;40422451;0
1.9;32981087#1;0;74548561#1;0
1.9;32981087#1;1;22653472;1
1.9;33890764#0;0;186239191#1;0
1.9;35744220#1;;;
1.9;362127466#1;0;--362127466#2.41;0
1.9;362906062;0;27260008#0;0
1.9;362906062;0;39088967#0;0
1.9;362906062;1;39088967#0;1
1.9;362906062;2;39088967#0;2
1.9;362906062;3;39088967#0;3
1.9;362906064;0;362906062;0
1.9;362906064;0;362906062;1
1.9;362906064;1;362906062;2
1.9;362906064;2;362906062;3
1.9;370073257;0;370073259;0
1.9;370073257;1;-4275522#9;0
1.9;370073257;2;142954644#1;0
1.9;370073257;3;142954644#1;1
1.9;370073258#0;0;24400729#1;0
1.9;370073258#0;1;-4919237#2;0
1.9;370073258#0;2;252843129;0
1.9;370073258#0;3;252843129;1
1.9;370073259;0;-566711303#4;0
1.9;370073259;1;-566711303#4;0
1.9;370073260#0;0;370073260#1;0
1.9;370073260#0;1;370073260#1;1
1.9;370073260#0;2;370073260#1;2
1.9;370073260#1;0;370073258#0;0
1.9;370073260#1;1;370073258#0;1
1.9;370073260#1;1;370073258#0;2
1.9;370073260#1;2;370073258#0;3
1.9;370073261#0;0;370073261#1;0
1.9;370073261#0;1;370073261#1;1
1.9;370073261#1;0;370073262;0
1.9;370073261#1;0;370073262;1
1.9;370073261#1;1;370073262;2
1.9;370073262;0;142954643;0
1.9;370073262;0;142954643;1
1.9;370073262;1;142954643;2
1.9;370073262;2;142954643;3
1.9;37071273#0;0;-43118549;0
1.9;37071273#0;0;37071273#2;0
1.9;37071273#2;0;37071273#3;0
1.9;37071273#2;0;37071273#3;1
1.9;37071273#2;0;gneE134;0
1.9;37071273#3;0;37071273#4;0
1.9;37071273#3;1;37071273#4;1
1.9;37071273#4;0;43118561#0;0
1.9;37071273#4;0;gneE136;0
1.9;37071273#4;1;gneE136;1
1.9;37336182;0;44523398#1;0
1.9;37336182;0;39977142;0
1.9;37336182;1;39977142;1
1.9;37336182;2;39977142;2
1.9;37336182;3;39977142;3
1.9;3753109;0;521045497;0
1.9;3753109;1;521045497;1
1.9;377610931#0;0;377610931#1;0
1.9;377610931#0;1;377610931#1;1
1.9;377610931#1;0;566711286;0
1.9;377610931#1;0;566711286;1
1.9;377610931#1;1;566711286;2
1.9;38839094;0;38839094.18;0
1.9;38839094;1;38839094.18;1
1.9;38839094;1;38839094.18;2
1.9;38839094.18;0;5213129#0;0
1.9;38839094.18;0;22697608#1;0
1.9;38839094.18;1;22697608#1;1
1.9;38839094.18;2;22697609;1
1.9;38839094.18;2;143575108;0
1.9;39088967#0;0;521045493;0
1.9;39088967#0;0;521056835;0
1.9;39088967#0;1;521056835;1
1.9;39088967#0;2;6376884;0
1.9;39088967#0;3;6376884;1
1.9;39088985#0;0;39088985#0.48;0
1.9;39088985#0;1;39088985#0.48;1
1.9;39088985#0;1;39088985#0.48;2
1.9;39088985#0;2;39088985#0.48;3
1.9;39088985#0.48;0;39097668;0
1.9;39088985#0.48;1;39097668;1
1.9;39088985#0.48;2;39097668;2
1.9;39088985#0.48;3;39097668;3
1.9;39097668;0;26621012#0;0
1.9;39097668;1;26621012#0;1
1.9;39097668;2;26621012#0;2
1.9;39097668;2;26621012#0;3
1.9;39097668;3;26621012#0;4
1.9;391787295#2;0;-139169789#0;0
1.9;391787295#2;0;39088985#0;0
1.9;391787295#2;1;39088985#0;1
1.9;391787295#2;2;39088985#0;2
1.9;39977142;0;39977142.22;0
1.9;39977142;1;39977142.22;1
1.9;39977142;2;39977142.22;2
1.9;39977142;3;39977142.22;3
1.9;39977142;3;39977142.22;4
1.9;39977142.22;0;gneE15;0
1.9;39977142.22;1;gneE15;1
1.9;39977142.22;1;gneE15;2
1.9;39977142.22;2;gneE15;3
1.9;39977142.22;3;gneE14;0
1.9;39977142.22;4;gneE14;1
1.9;39978006#1;0;39978006#2;0
1.9;39978006#1;1;39978006#2;1
1.9;39978006#1;2;39978006#2;2
1.9;39978006#2;0;39978006#3;0
1.9;39978006#2;1;39978006#3;1
1.9;39978006#2;2;39978006#3;2
1.9;401531644;0;45854492#0;0
1.9;401531644;1;45854492#0;1
1.9;401531649;0;156559298#0;0
1.9;401531649;0;51981485#1;0
1.9;401531649;0;156559304#0;0
1.9;401531649;0;156559304#0;1
1.9;401531649;1;156559304#0;2
1.9;401531649;2;51981485#1;0
1.9;401531649;2;gneE53;0
1.9;40196165#0;0;40196165#1;0
1.9;40196165#0;1;40196165#1;1
1.9;40196165#0;2;40196165#1;2
1.9;40196165#1;0;gneE3;0
1.9;40196165#1;1;gneE3;1
1.9;40196165#1;1;gneE3;2
1.9;40196165#1;2;28180143;1
1.9;40229432#1;0;40229432#1.19;0
1.9;40229432#1;0;40229432#1.19;1
1.9;40229432#1;1;40229432#1.19;2
1.9;40229432#1;2;40229432#1.19;3
1.9;40229432#1.19;0;51215082#1;0
1.9;40229432#1.19;0;4275522#1;0
1.9;40229432#1.19;1;4275522#1;1
1.9;40229432#1.19;2;143065613#1;0
1.9;40229432#1.19;3;143065613#1;1
1.9;40229432#1.19;3;143065614#7;1
1.9;40229433#0;0;40229433#1;0
1.9;40229433#1;0;647842954#0;0
1.9;40229434#0;0;40229434#1;0
1.9;40229434#0;1;40229434#1;1
1.9;40229434#1;0;gneE13;0
1.9;40229434#1;0;40229432#1;0
1.9;40229434#1;1;40229432#1;1
1.9;40229434#1;1;40229432#1;2
1.9;40422451;0;gneE138;0
1.9;40422451;0;gneE141;0
1.9;40422451;0;22649712#1;0
1.9;4044261#0;0;521070807;0
1.9;41517860;0;542952981;0
1.9;41517860;0;542952981;1
1.9;41517860;1;542952981;2
1.9;415667202;0;566711289;0
1.9;415667202;1;566711289;1
1.9;4218887#0;0;24498951#0;0
1.9;4275522#1;1;4275522#2;0
1.9;4275522#2;0;4275522#3;0
1.9;4275522#3;0;4275522#4;0
1.9;4275522#4;0;4275522#5;0
1.9;4275522#5;0;4275522#6;0
1.9;4275522#5;0;4275522#6;1
1.9;4275522#6;0;4275522#7;0
1.9;4275522#6;0;-4275522#6;0
1.9;4275522#6;1;-4275522#6;0
1.9;4275522#7;0;4275522#8;1
1.9;4275522#7;0;4275522#8;2
1.9;4275522#8;0;4275522#9;0
1.9;4275522#8;1;4275522#9;1
1.9;4275522#8;2;4275522#9;2
1.9;4275522#9;0;142954644#1;0
1.9;4275522#9;1;-370073257;0
1.9;4275522#9;2;370073259;1
1.9;4275525;0;512394703#0;0
1.9;4275525;0;512394703#0;1
1.9;4275525;1;512394703#0;2
1.9;4275525;2;512394703#0;3
1.9;4275525;3;512394703#0;4
1.9;428947503;0;139056860#0;0
1.9;428947503;1;139056860#0;1
1.9;428947503;2;139056860#0;2
1.9;428959012;0;-521045495#1;0
1.9;428959012;1;-521045495#1;1
1.9;428959012;2;252843139;1
1.9;43118542;0;-142677520;0
1.9;43118542;1;-142677520;1
1.9;43118549;0;37071273#2;0
1.9;43118561#0;0;43118561#1;0
1.9;43118561#0;1;43118561#1;1
1.9;43118561#0;2;43118561#1;2
1.9;43118561#1;0;164239554;0
1.9;43118561#1;1;164239554;1
1.9;43118561#1;2;164239554;2
1.9;43118572#0;0;43118572#1;0
1.9;43118572#0;1;43118572#1;1
1.9;43118572#1;0;39978006#1;0
1.9;43118572#1;0;39978006#1;1
1.9;43118572#1;1;596083278;0
1.9;43118572#1;1;596083278;1
1.9;43145232;0;22729789;0
1.9;43145232;1;22729789;1
1.9;43145232;2;22729789;2
1.9;43145233#1;0;142944367;0
1.9;43145233#1;1;142944367;1
1.9;43145233#1;2;142944367;2
1.9;43145234;0;142944402;0
1.9;43145234;1;142944402;1
1.9;43145234;2;142944402;2
1.9;43145234;2;142944402;3
1.9;43145235#2;0;43145235#2.19;0
1.9;43145235#2;1;43145235#2.19;1
1.9;43145235#2;2;43145235#2.19;2
1.9;43145235#2;3;43145235#2.19;3
1.9;43145235#2;3;43145235#2.19;4
1.9;43145235#2.19;0;43145235#3;0
1.9;43145235#2.19;1;43145235#3;1
1.9;43145235#2.19;2;43145235#3;2
1.9;43145235#2.19;3;43145235#3;3
1.9;43145235#2.19;4;43145235#3;4
1.9;43145235#2.19;4;43145235#3;5
1.9;43145235#3;0;596083278;0
1.9;43145235#3;0;596083278;1
1.9;43145235#3;1;43118561#0;0
1.9;43145235#3;2;43118561#0;1
1.9;43145235#3;3;43118561#0;2
1.9;43145235#3;4;gneE136;0
1.9;43145235#3;5;gneE136;1
1.9;43664476#1;0;43664476#2;0
1.9;43664476#1;1;43664476#2;1
1.9;43664476#2;0;43664476#3;0
1.9;43664476#2;1;43664476#3;1
1.9;43664476#3;0;43664476#4;0
1.9;43664476#3;1;43664476#4;1
1.9;43664476#4;0;20439110#0;0
1.9;43664476#4;1;20439110#0;1
1.9;43664479#0;0;43664479#1;0
1.9;43664479#0;1;43664479#1;0
1.9;43664479#1;0;40229433#0;0
1.9;44135328#0;;;
1.9;44523398#1;0;-142954639#8;0
1.9;44523398#1;1;-142954639#8;1
1.9;44523403#1;0;44523403#2;0
1.9;44523403#1;1;44523403#2;1
1.9;44523403#1;2;44523403#2;2
1.9;44523403#2;0;43145232;0
1.9;44523403#2;1;43145232;1
1.9;44523403#2;2;43145232;2
1.9;44578241#0;0;6243186#1;0
1.9;44578241#0;0;44578241#1;0
1.9;44578241#0;1;44578241#1;1
1.9;44578241#0;2;44578241#1;2
1.9;44578241#1;0;44578241#2;0
1.9;44578241#1;1;44578241#2;1
1.9;44578241#1;2;44578241#2;2
1.9;44578241#2;0;44578241#3;0
1.9;44578241#2;1;44578241#3;1
1.9;44578241#2;2;44578241#3;2
1.9;44578241#3;0;44578241#4;0
1.9;44578241#3;1;44578241#4;1
1.9;44578241#3;2;44578241#4;2
1.9;44578241#4;0;158325320#1;0
1.9;44578241#4;0;44523403#1;0
1.9;44578241#4;1;44523403#1;1
1.9;44578241#4;2;44523403#1;2
1.9;44578241#4;2;184557791#1;1
1.9;45188125#0;0;22697609;0
1.9;45188125#0;1;22697609;1
1.9;45188125#0;2;143575108;0
1.9;45741811;0;45741813#0;0
1.9;45741811;1;45741813#0;1
1.9;45741812#1;0;45741812#2;0
1.9;45741812#1;1;45741812#2;1
1.9;45741812#2;0;45741811;0
1.9;45741812#2;1;45741811;1
1.9;45741813#0;0;45741817#0;0
1.9;45741813#0;1;45741817#0;1
1.9;45741813#0;1;-8300803#3;0
1.9;45741817#0;0;45741817#1;0
1.9;45741817#0;0;45741817#1;1
1.9;45741817#0;1;45741817#1;2
1.9;45741817#1;0;-252378410#1;0
1.9;45741817#1;0;22791191#0;0
1.9;45741817#1;1;22791191#0;1
1.9;45741817#1;2;252993339#0;0
1.9;45741817#1;2;gneE126;0
1.9;457986148#0;0;139083719#1;0
1.9;457986148#0;0;139083725;0
1.9;457986148#0;1;139083725;1
1.9;457986148#0;2;gneE5;0
1.9;457986148#0;2;252843136#2;1
1.9;457986149;0;4926297#0;0
1.9;457986149;0;4926297#0;1
1.9;457986149;1;4926297#0;2
1.9;457986149;2;4926297#0;3
1.9;45854492#0;0;136915274#1;0
1.9;45854492#0;0;45854492#1;0
1.9;45854492#0;1;45854492#1;1
1.9;45854492#1;0;521070807;0
1.9;45854492#1;1;521070807;1
1.9;45854495;0;220109543;0
1.9;45854495;1;220109543;1
1.9;45854495;2;220109543;2
1.9;472397652#0;0;gneE21;0
1.9;472397652#0;1;gneE21;1
1.9;47338631#0;0;-gneE116;0
1.9;47338631#0;1;-gneE116;1
1.9;47338631#0;2;-299265214#1;0
1.9;48516448;0;158822885#0;0
1.9;48516448;1;158822885#0;1
1.9;4919145;;;
1.9;4919237#0;0;4919237#1;0
1.9;4919237#0;1;4919237#1;1
1.9;4919237#0;1;4919237#1;2
1.9;4919237#1;0;4919237#2;0
1.9;4919237#1;1;4919237#2;1
1.9;4919237#1;2;4919237#2;2
1.9;4919237#2;0;252843129;0
1.9;4919237#2;1;252843129;1
1.9;4919237#2;2;24400729#1;0
1.9;4926297#0;0;252843886#0;0
1.9;4926297#0;0;139083719#1;0
1.9;4926297#0;1;139083719#1;1
1.9;4926297#0;2;139083719#1;2
1.9;4926297#0;3;139083725;1
1.9;50381783#1a;0;50381783#1;0
1.9;50381783#1a;1;50381783#1;1
1.9;51193433#5;0;521045505;0
1.9;51193433#5;0;521045505;1
1.9;51208012;0;521045494;0
1.9;51208012;1;521045494;1
1.9;51215082#1;0;51215082#1.29;0
1.9;51215082#1;1;51215082#1.29;1
1.9;51215082#1;2;51215082#1.29;2
1.9;51215082#1.29;0;-gneE13;0
1.9;51215082#1.29;0;-gneE13;1
1.9;51215082#1.29;0;22790157;0
1.9;51215082#1.29;1;22790157;1
1.9;51215082#1.29;2;22790157;2
1.9;51215083#1;0;51215083#1.35;0
1.9;51215083#1;0;51215083#1.35;1
1.9;51215083#1;1;51215083#1.35;2
1.9;51215083#1.35;0;gneE114;0
1.9;51215083#1.35;0;22744203#1;0
1.9;51215083#1.35;0;43664479#0;0
1.9;51215083#1.35;1;43664479#0;1
1.9;51215083#1.35;2;gneE13;1
1.9;512394703#0;0;512394703#1;0
1.9;512394703#0;1;512394703#1;1
1.9;512394703#0;2;512394703#1;2
1.9;512394703#0;3;512394703#1;3
1.9;512394703#0;4;512394703#1;4
1.9;512394703#1;0;512394704;0
1.9;512394703#1;1;512394704;1
1.9;512394703#1;2;512394704;2
1.9;512394703#1;3;44523398#1;0
1.9;512394703#1;4;44523398#1;1
1.9;512394704;0;44578241#0;0
1.9;512394704;1;44578241#0;1
1.9;512394704;2;44578241#0;2
1.9;52087421#0;0;521056835;0
1.9;52087421#0;0;6376884;0
1.9;52087421#0;1;6376884;1
1.9;521045494;0;521045495#1;0
1.9;521045494;1;521045495#1;1
1.9;521045495#1;0;252843139;0
1.9;521045495#1;1;252843139;1
1.9;521045497;0;521045499#0;0
1.9;521045497;1;521045499#0;1
1.9;521045499#0;0;521045499#1;0
1.9;521045499#0;1;521045499#1;1
1.9;521045499#1;0;521045501#0;0
1.9;521045499#1;1;521045501#0;1
1.9;521045500;0;139169789#0;0
1.9;521045500;1;139169789#0;1
1.9;521045501#0;0;521045501#1;0
1.9;521045501#0;1;521045501#1;1
1.9;521045501#1;0;521045500;0
1.9;521045501#1;1;521045500;1
1.9;521045505;0;gneE36;0
1.9;521045505;0;521045507#0;0
1.9;521045505;1;521045507#0;1
1.9;521045507#0;0;521045501#0;0
1.9;521045507#0;1;521045501#0;1
1.9;521045511#0;0;521045511#1;0
1.9;521045511#0;1;521045511#1;1
1.9;521045511#0;2;521045511#1;2
1.9;521045511#1;0;495849381#0;0
1.9;521045511#1;1;-139169789#0;0
1.9;521045511#1;2;-139169789#0;1
1.9;521056835;;;
1.9;521070805;0;45854495;0
1.9;521070805;1;45854495;1
1.9;521070805;2;45854495;2
1.9;521070806;0;521070805;0
1.9;521070806;1;521070805;1
1.9;521070806;2;521070805;2
1.9;521070807;0;220109544;0
1.9;521070807;1;220109544;1
1.9;521070807;1;220109544;2
1.9;5213127#0;0;44523403#1;0
1.9;5213127#0;0;184557791#1;0
1.9;5213127#0;1;184557791#1;1
1.9;5213127#0;1;20439102#0;2
1.9;5213129#0;0;5213129#1;0
1.9;5213129#1;;;
1.9;5217066;;;
1.9;53666954;0;53666954.27;0
1.9;53666954;0;53666954.27;1
1.9;53666954;1;53666954.27;2
1.9;53666954.27;0;53666954.27.22;0
1.9;53666954.27;1;53666954.27.22;1
1.9;53666954.27;1;53666954.27.22;2
1.9;53666954.27;2;53666954.27.22;3
1.9;53666954.27.22;0;-4275522#9;0
1.9;53666954.27.22;1;142954644#1;0
1.9;53666954.27.22;2;142954644#1;1
1.9;53666954.27.22;3;-370073257;0
1.9;538341579#0;0;251871702;0
1.9;538341579#0;1;606141108;0
1.9;538341579#0;2;606141108;1
1.9;538341579#0;3;381750337;0
1.9;538341579#0;3;381750337;1
1.9;538341579#0;3;381750337;2
1.9;538341584#0;0;381750337;0
1.9;538341584#0;0;51214742#0;0
1.9;538341584#0;1;51214742#0;1
1.9;538341584#0;2;51214742#0;2
1.9;538341584#0;2;251871702;2
1.9;542148469;0;3753109;0
1.9;542148469;1;3753109;1
1.9;542952981;0;20438105#0;0
1.9;542952981;0;20438105#0;1
1.9;542952981;1;20438105#0;2
1.9;542952981;2;20438105#0;3
1.9;551319347#5;0;139083714#0;0
1.9;551319347#5;0;44135328#0;0
1.9;551319347#5;1;44135328#0;1
1.9;551319347#5;2;-142677514#1;0
1.9;551319351#0;0;51214742#0;0
1.9;551319351#0;0;251871702;0
1.9;551319351#0;1;251871702;1
1.9;551319351#0;1;606141108;0
1.9;551319351#0;2;251871702;2
1.9;551319351#0;2;606141108;1
1.9;554706397#0;0;554706397#1;0
1.9;554706397#0;1;554706397#1;1
1.9;554706397#1;0;22697740#0;0
1.9;554706397#1;1;22697740#0;1
1.9;566711283;0;377610931#0;0
1.9;566711283;0;377610931#0;1
1.9;566711284;0;566711302;0
1.9;566711284;1;566711302;1
1.9;566711284;2;142954649#3;0
1.9;566711286;0;40196165#0;0
1.9;566711286;1;40196165#0;1
1.9;566711286;2;40196165#0;2
1.9;566711289;0;566711284;0
1.9;566711289;0;566711284;1
1.9;566711289;1;566711284;2
1.9;566711291;0;591207082#1;0
1.9;566711291;0;591207082#1;1
1.9;566711291;0;gneE153;0
1.9;566711291;0;gneE153;1
1.9;566711298#0;0;gneE153;0
1.9;566711298#0;1;gneE153;1
1.9;566711298#0;2;-566711291;0
1.9;566711300;0;-566711291;0
1.9;566711300;0;591207082#1;0
1.9;566711300;0;591207082#1;1
1.9;566711302;0;gneE95;0
1.9;566711302;0;566711298#0;0
1.9;566711302;1;566711298#0;1
1.9;566711302;1;566711298#0;2
1.9;566711303#1;0;566711303#4;0
1.9;566711303#1;1;566711303#4;1
1.9;566711303#1;2;25554897#0;0
1.9;566711303#4;0;53666954;0
1.9;566711303#4;1;53666954;1
1.9;566711304#1;0;142954649#3;0
1.9;566711304#1;0;566711283;0
1.9;591198226;0;37071273#0;0
1.9;591198226;1;gneE21;0
1.9;591207082#1;0;655030378#1;0
1.9;591207082#1;1;655030378#1;1
1.9;591566053;0;591566053.5;0
1.9;591566053.5;0;-188690101;0
1.9;59471461;0;74547371;0
1.9;59471461;1;74547371;1
1.9;596083278;0;gneE26;0
1.9;596083278;1;gneE26;1
1.9;596230215#0;0;596230215#1;0
1.9;596230215#0;1;596230215#1;1
1.9;596230215#0;2;596230215#1;2
1.9;596230215#0;3;596230215#1;3
1.9;596230215#1;0;184557791#1;0
1.9;596230215#1;0;20439102#0;0
1.9;596230215#1;1;20439102#0;1
1.9;596230215#1;2;20439102#0;2
1.9;596230215#1;3;158325320#1;0
1.9;606141102;0;139083720;0
1.9;606141102;1;139083720;1
1.9;606141103#0;0;647842951;0
1.9;606141103#0;0;647842951;1
1.9;606141103#0;1;647842951;2
1.9;606141108;0;606141103#0;0
1.9;606141108;1;606141103#0;1
1.9;606439141#0;0;22697739#0;0
1.9;606439141#0;1;22697739#0;1
1.9;606439145;0;22697738;0
1.9;606439145;0;606439141#0;0
1.9;606439145;1;606439141#0;1
1.9;606439147#2;0;-22697759#3;0
1.9;606439147#2;0;606439147#5;0
1.9;606439147#2;1;606439147#5;1
1.9;606439147#5;0;8516454;0
1.9;606439147#5;0;606439145;0
1.9;606439147#5;1;606439145;1
1.9;606439149;0;23925229;0
1.9;606439149;0;23925229;1
1.9;606439149;1;23925229;2
1.9;615482813#0;0;428947503;0
1.9;615482813#0;1;428947503;1
1.9;615482813#0;2;428947503;2
1.9;6243477#0;0;6243477#1;1
1.9;6243477#0;1;6243477#1;2
1.9;6243477#1;0;6243477#1.53;1
1.9;6243477#1;1;6243477#1.53;2
1.9;6243477#1;2;6243477#1.53;3
1.9;6243477#1.53;0;143065638#2;0
1.9;6243477#1.53;1;186239191#1;0
1.9;6243477#1.53;2;186239191#1;1
1.9;6243477#1.53;3;186239191#1;2
1.9;6376884;0;51208012;0
1.9;6376884;1;51208012;1
1.9;6376884;1;22131088#0;0
1.9;647842951;0;615482813#0;0
1.9;647842951;1;606141102;0
1.9;647842951;2;606141102;1
1.9;647842954#0;0;647842954#1;0
1.9;647842954#1;0;647842954#2;0
1.9;647842954#2;0;188690101;0
1.9;655030378#1;0;566711304#1;0
1.9;655030378#1;1;566711304#1;0
1.9;678902911#0;0;678902911#1;0
1.9;678902911#0;1;678902911#1;1
1.9;678902911#0;2;678902911#1;2
1.9;678902911#1;0;gneE108;0
1.9;678902911#1;1;41517860;0
1.9;678902911#1;2;41517860;1
1.9;678902914#0;0;678902926#0;0
1.9;678902914#0;1;678902926#0;1
1.9;678902914#0;2;-8663642;0
1.9;678902918;0;678902914#0;0
1.9;678902918;1;678902914#0;1
1.9;678902918;1;678902914#0;2
1.9;678902926#0;0;678902926#1;0
1.9;678902926#0;1;678902926#1;1
1.9;678902926#1;0;678902911#0;0
1.9;678902926#1;1;678902911#0;1
1.9;678902926#1;1;678902911#0;2
1.9;74543943#0;0;31274978;0
1.9;74543943#0;1;31274978;1
1.9;74543943#0;2;59471461;1
1.9;74547371;0;234561088;0
1.9;74547371;1;234561088;1
1.9;74548561#1;0;30598412;0
1.9;74548561#1;1;30598412;1
1.9;74548561#1;1;30598412;2
1.9;76034972;0;252843136#2;0
1.9;76034972;0;252843886#0;0
1.9;76034972;1;252843886#0;1
1.9;76034972;2;252843886#0;2
1.9;76034972;3;139083719#1;1
1.9;76034972;4;139083719#1;2
1.9;8300803#3;0;142677530#1;0
1.9;8300803#3;0;45741817#0;0
1.9;8300803#3;1;45741817#0;1
1.9;8300811#3;0;606439147#2;0
1.9;8300811#3;0;142944224#3;1
1.9;8663642;0;-678902914#0;0
1.9;8663642;0;678902926#0;1
1.9;92197791;0;521045511#0;0
1.9;92197791;0;521045511#0;1
1.9;92197791;1;521045511#0;2
1.9;gneE10;0;gneE11;0
